event_id_cnty,verdict,reason
DEU131,wrong,Fridays for Future coal protest; 'students' pulls to education
DEU3020,wrong,climate activists blocking an open-pit mine
DEU1188,wrong,Fridays for Future demanding climate action
GBR6490,wrong,Just Stop Oil; 'traffic' and 'bridge' pull to public services
DEU13367,wrong,pesticide use on plantations; nothing about animals
FRA27718,defensible,protest is about government inaction after a factory fire
SRB3046,defensible,against local government building plans on green space
DEU8511,defensible,preserving a railway embankment; public services is a fair reading
ESP3367,wrong,air quality protest
BGR624,defensible,pig owners against a cull; animal welfare is a fair secondary reading
ITA22085,wrong,closed emergency room; the archaeological site is only the march destination
GBR7537,defensible,asks the council to reinstate funding
DEU1148,defensible,about a refugee accommodation; housing is a partial reading
AUT270,wrong,march for the reception and rights of refugees
ESP8792,defensible,demand to reopen national borders is a policy demand
ESP7468,wrong,hairdressers want lower VAT; 'labour sector' pulls to animal welfare
NOR791,no fitting class,human rights abuses at the Qatar World Cup
ITA16034,wrong,fishers against diesel prices; 'diesel' pulls to climate
ROU2691,defensible,the note itself calls the pay exclusion discriminatory
ROU1803,wrong,aluminium workers against energy prices; manual label also debatable
GBR7301,wrong,journalists' strike over pay
ITA14966,wrong,striking fishers against fuel prices
MKD981,wrong,news agency staff demanding higher salaries
DEU22462,defensible,against a city plan to cut jobs; policy reading is fair
FRA26012,wrong,support rally for striking employees
ESP10467,wrong,police unions after collective agreement talks broke down
ESP6939,wrong,civil servants against temporary contracts
DNK256,defensible,homeless people protest a shelter manager's dismissal; labor rights is a stretch
ITA16400,defensible,street vendors against a municipal market decision
GBR2295,wrong,council staff strike over pay
GBR3616,wrong,Uber drivers' strike over pay and dismissals
FRA14109,wrong,foundry workers against factory closure; 'station' pulls to public services
DEU15991,wrong,May Day rally for workers' rights
ITA3230,wrong,airport service staff fear job losses; 'airport' pulls to public services
ESP5313,wrong,Airbus workers against a plant closure
FRA3442,wrong,police officers protest violence against them; 'police officers' pulls to unjust law enforcement
ESP9551,no fitting class,Western Sahara resource extraction
GBR8215,no fitting class,veterans against repeal of the Legacy Act; 'Labour's plans' pulls to animal welfare
DEU6622,defensible,anti-fascist commemoration of the liberation from Nazism
DEU19674,wrong,pupils against far-right remigration plans; the topic is not education
ITA15978,no fitting class,anti-mafia commemoration
NLD2455,wrong,against a court ruling in a racist hazing death; 'student' pulls to education
DEU13354,wrong,demand for an energy price cap
DEU7410,no fitting class,against nuclear weapons
ITA10785,no fitting class,justice for an aid worker who died abroad; 'apartment' pulls to housing
ITA18739,wrong,anarchist on hunger strike in prison; 'strike' pulls to labor rights
FRA13286,defensible,Yellow Vests about falling purchasing power
DEU21530,no fitting class,counter-protest against PEGIDA with no stated motive
FRA16678,no fitting class,call to free a journalist held hostage in Mali
FRA4674,wrong,against a national security bill limiting press and protest rights
DEU6165,wrong,far-right party demanding a ban on Antifa
DEU23622,no fitting class,vigil about rising violence after a knife attack
EST354,wrong,motorcyclists against a new car tax
SRB2183,defensible,residents unpaid for land seized for a highway; public works reading is fair
DEU22838,defensible,against a begging ban in public transport
ITA559,no fitting class,remembrance of the foibe massacres
BGR2725,defensible,water rationing; environment is a partial reading
HUN891,defensible,against highway expansion; policy reading is fair
ESP5993,defensible,street project blocked by a dispute between public institutions
DEU16149,wrong,against the war in Europe in 2023; this is the Ukraine war
ITA8289,wrong,against police violence; 'hospitalization' pulls to health care
FRA14592,wrong,justice for a prisoner who died at the hands of guards
DEU6495,wrong,against police violence
