event_id_cnty,verdict,reason
DEU13894,wrong,Fridays for Future bike demo for climate protection at COP27
DEU131,wrong,Fridays for Future coal protest; removing 'student' drops education
GBR3135,defensible,objection to a town council planning decision
DEU727,defensible,closure of a municipal musical theater; public services is a fair reading
HRV248,wrong,closure of Croatia's oldest cinema
DEU22891,defensible,church budget cuts to student congregations; education is only loosely right
HRV847,wrong,residents against a waste disposal site
BIH1188,wrong,against a solar plant above the village; 'house' pulls to housing
FRA27718,defensible,protest is about government inaction after a factory fire
DEU8511,defensible,preserving a railway embankment; public services is a fair reading
SRB3046,wrong,against building a skyscraper on green space
BGR624,defensible,pig owners against a cull; animal welfare is a fair secondary reading
ITA22085,wrong,closed emergency room; the archaeological site is only the march destination
DEU1148,defensible,about a refugee accommodation; housing is a partial reading
AUT270,wrong,march for the reception and rights of refugees
ESP8792,defensible,demand to reopen national borders is a policy demand
ESP3029,wrong,shellfishers about their difficult labor situation
ROU1803,wrong,aluminium workers against energy prices; removing 'energy' drops climate
ITA14966,wrong,striking fishers against fuel prices; removing 'oil gas' drops climate
ROU2691,defensible,the note itself calls the pay exclusion discriminatory
ITA16034,wrong,fishers against diesel prices; 'diesel fuel' pulls to environment and climate
ESP5845,wrong,unions demand readmission of 23 dismissed workers
ITA8936,wrong,temp workers against non-renewal of contracts and exploitation
DEU8787,wrong,firefighters and Ver.di demanding pay and a Christmas bonus
FRA26012,wrong,support rally for striking employees
DEU6470,defensible,May Day rally with no reported reason
ESP6939,wrong,civil servants against temporary contracts
DNK256,defensible,homeless people protest a shelter manager's dismissal; labor rights is a stretch
ITA16400,defensible,street vendors against a municipal market decision
ITA17653,wrong,job placement advisors demanding their jobs be secured
ITA16435,wrong,factory workers against an unsustainable workload
GBR7301,wrong,journalists' strike over pay
FRA14109,wrong,foundry workers against factory closure; removing 'train station' gives labor rights
DEU22462,defensible,job cuts in a municipal youth employment service
DEU15991,wrong,May Day rally for workers' rights
ITA3230,wrong,airport service staff fear job losses
ESP5313,wrong,Airbus workers against a plant closure
ESP10467,wrong,police unions after agreement talks broke down; removing 'police' drops unjust law enforcement
FRA3442,wrong,police officers protest violence against them
NOR791,no fitting class,human rights abuses at the Qatar World Cup
DEU13354,wrong,demand for an energy price cap; removing 'energy' drops climate
BEL1514,wrong,against the energy price crisis; removing 'energy' drops climate
MDA1379,wrong,demands government resignation over energy prices; removing 'energy' drops climate
FRA16678,no fitting class,call to free a journalist held hostage in Mali
DEU19674,wrong,pupils against far-right remigration plans; the topic is not education
ITA15978,no fitting class,anti-mafia commemoration
FRA34682,wrong,lawyers' solidarity after a far-right 'list to eliminate'
GRC2453,no fitting class,solidarity with a convicted hitman on hunger strike
ITA18739,wrong,anarchist on hunger strike in prison
FRA4674,wrong,against a national security bill limiting press and protest rights
DEU6165,wrong,far-right party demanding a ban on Antifa
ITA10785,no fitting class,justice for an aid worker who died abroad
DEU22838,defensible,against a begging ban in public transport
ITA559,no fitting class,remembrance of the foibe massacres
EST354,wrong,motorcyclists against a new car tax
DEU7410,no fitting class,against nuclear weapons
GBR8215,no fitting class,veterans against repeal of the Legacy Act; removing military words drops Ukraine war
MDA486,wrong,veterans demand a minister's resignation; removing 'war' drops Ukraine war
DEU23622,no fitting class,vigil about rising violence after a knife attack
BGR2725,defensible,villagers demand local authorities fix water rationing
ESP5993,defensible,street project blocked by a dispute between public institutions
ITA8289,wrong,against police violence; 'hospitalization' pulls to health care
